<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDRUB;60;20181211;110000;66.4560000;66.5452000;66.3651000;66.4806000;44180
USDRUB;60;20181211;120000;66.4655000;66.5721000;66.3951000;66.4980000;62134
USDRUB;60;20181211;130000;66.4509000;66.5087000;66.3996000;66.4695000;38368
USDRUB;60;20181211;140000;66.4756000;66.4763000;66.2840000;66.3844000;43050
USDRUB;60;20181211;150000;66.3875000;66.4390000;66.1701000;66.1721000;50407
USDRUB;60;20181211;160000;66.1721000;66.3773000;66.1651000;66.3140000;45226
USDRUB;60;20181211;170000;66.3140000;66.3928000;66.2082000;66.3386000;50979
USDRUB;60;20181211;180000;66.3394000;66.4609000;66.2519000;66.4382000;50697
USDRUB;60;20181211;190000;66.4406000;66.4834000;66.3440000;66.4264000;33731
USDRUB;60;20181211;200000;66.4265000;66.5038000;66.3740000;66.4143000;27907
USDRUB;60;20181211;210000;66.4179000;66.5010000;66.3728000;66.4200000;17139
USDRUB;60;20181211;220000;66.4270000;66.4656000;66.3777000;66.4517000;11921
USDRUB;60;20181211;230000;66.4575000;66.4630000;66.3240000;66.3690000;12013
USDRUB;60;20181212;000000;66.3690000;66.3751000;66.2790000;66.3510000;5906
USDRUB;60;20181212;010000;66.3510000;66.4618000;66.3510000;66.3880000;223
USDRUB;60;20181212;020000;66.4295000;66.4595000;66.3887000;66.4148000;128
USDRUB;60;20181212;030000;66.4109000;66.4690000;66.1955000;66.3933000;396
USDRUB;60;20181212;040000;66.3974000;66.4567000;66.1416000;66.4477000;330
USDRUB;60;20181212;050000;66.4402000;66.4556000;66.3102000;66.4530000;78
USDRUB;60;20181212;060000;66.4415000;66.4572000;66.3780000;66.4350000;61
USDRUB;60;20181212;070000;66.4362000;66.4565000;66.3905000;66.3905000;378
USDRUB;60;20181212;080000;66.4225000;66.4500000;66.3547000;66.4204000;421
USDRUB;60;20181212;090000;66.4103000;66.4385000;66.2475000;66.2493000;1292
USDRUB;60;20181212;100000;66.2970000;66.5082000;66.2206000;66.2590000;1717
USDRUB;60;20181212;110000;66.2590000;66.4928000;66.2590000;66.4258000;37684
USDRUB;60;20181212;120000;66.4258000;66.5084000;66.3578000;66.5054000;40962
USDRUB;60;20181212;130000;66.5052000;66.5133000;66.3458000;66.3952000;34597
USDRUB;60;20181212;140000;66.3937000;66.5288000;66.3533000;66.4488000;31424
USDRUB;60;20181212;150000;66.4497000;66.4690000;66.3220000;66.3878000;31491
USDRUB;60;20181212;160000;66.3878000;66.4254000;66.2258000;66.3225000;38756
USDRUB;60;20181212;170000;66.3370000;66.3588000;66.1394000;66.1885000;36792
USDRUB;60;20181212;180000;66.1910000;66.2876000;66.0845000;66.2357000;42880
USDRUB;60;20181212;190000;66.2317000;66.3525000;66.1833000;66.3202000;41225
USDRUB;60;20181212;200000;66.3190000;66.3891000;66.2220000;66.3691000;27112
USDRUB;60;20181212;210000;66.3691000;66.3931000;66.2645000;66.2885000;13867
USDRUB;60;20181212;220000;66.3003000;66.3418000;66.2378000;66.2915000;8971
USDRUB;60;20181212;230000;66.2956000;66.4173000;66.2445000;66.4013000;14420
USDRUB;60;20181213;000000;66.3979000;66.4560000;66.3109000;66.3515000;11699
USDRUB;60;20181213;010000;66.3901000;66.5175000;66.3510000;66.4684000;1844
USDRUB;60;20181213;020000;66.5060000;66.5158000;66.3593000;66.4199000;130
USDRUB;60;20181213;030000;66.4133000;66.4252000;66.1368000;66.4096000;84
USDRUB;60;20181213;040000;66.4167000;66.4755000;66.3398000;66.4460000;98
USDRUB;60;20181213;050000;66.4436000;66.4491000;66.3008000;66.4122000;552
USDRUB;60;20181213;060000;66.4096000;66.4231000;66.3692000;66.4101000;72
USDRUB;60;20181213;070000;66.3799000;66.4180000;66.1414000;66.3220000;213
USDRUB;60;20181213;080000;66.3536000;66.4165000;65.8707000;66.3230000;951
USDRUB;60;20181213;090000;66.3230000;66.4241000;66.2710000;66.3450000;1507
USDRUB;60;20181213;100000;66.3509000;66.3550000;65.8082000;66.3354000;1986
USDRUB;60;20181213;110000;66.3390000;66.3390000;66.1575000;66.2647000;39054
USDRUB;60;20181213;120000;66.2647000;66.2811000;66.1313000;66.2164000;48424
USDRUB;60;20181213;130000;66.2663000;66.3727000;66.2094000;66.2841000;53900
USDRUB;60;20181213;140000;66.2387000;66.4086000;66.2387000;66.3825000;44973
USDRUB;60;20181213;150000;66.3375000;66.4907000;66.2856000;66.4517000;44720
USDRUB;60;20181213;160000;66.4517000;66.4550000;66.3320000;66.4107000;37898
USDRUB;60;20181213;170000;66.4118000;66.4190000;66.1965000;66.2390000;53148
USDRUB;60;20181213;180000;66.2460000;66.3383000;66.0772000;66.2753000;54961
USDRUB;60;20181213;190000;66.2722000;66.3569000;66.1797000;66.2634000;47398
USDRUB;60;20181213;200000;66.2634000;66.3443000;66.2254000;66.3338000;31452
USDRUB;60;20181213;210000;66.3338000;66.3810000;66.2425000;66.3375000;13881
USDRUB;60;20181213;220000;66.3371000;66.3590000;66.2350000;66.3219000;10102
USDRUB;60;20181213;230000;66.3076000;66.3262000;66.1890000;66.2407000;11302
USDRUB;60;20181214;000000;66.2427000;66.2570000;66.1337000;66.1920000;9465
USDRUB;60;20181214;010000;66.2078000;67.0109000;66.0480000;66.2425000;1338
USDRUB;60;20181214;020000;66.2225000;66.3413000;66.1718000;66.3036000;138
USDRUB;60;20181214;030000;66.2936000;68.1510000;66.1812000;66.3492000;450
USDRUB;60;20181214;040000;66.3252000;66.3608000;66.2488000;66.3457000;109
USDRUB;60;20181214;050000;66.3554000;66.3957000;66.3364000;66.3775000;173
USDRUB;60;20181214;060000;66.3839000;66.3953000;66.3282000;66.3525000;2032
USDRUB;60;20181214;070000;66.3589000;66.3735000;66.3490000;66.3490000;2926
USDRUB;60;20181214;080000;66.3672000;66.3723000;66.2990000;66.3515000;911
USDRUB;60;20181214;090000;66.3515000;66.3758000;66.3015000;66.3640000;1298
USDRUB;60;20181214;100000;66.3712000;66.4118000;66.3260000;66.3790000;1101
USDRUB;60;20181214;110000;66.4057000;66.4878000;66.3136000;66.4095000;44570
USDRUB;60;20181214;120000;66.4088000;66.5158000;66.3453000;66.4819000;54096
USDRUB;60;20181214;130000;66.4817000;66.4955000;66.3764000;66.4176000;47576
USDRUB;60;20181214;140000;66.4650000;66.4798000;66.2060000;66.3505000;46081
USDRUB;60;20181214;150000;66.4023000;66.5068000;66.2847000;66.4849000;43197
USDRUB;60;20181214;160000;66.4849000;66.6417000;66.4336000;66.5844000;49387
USDRUB;60;20181214;170000;66.5989000;66.7839000;66.5513000;66.6615000;60023
USDRUB;60;20181214;180000;66.7088000;66.8139000;66.6539000;66.7571000;52393
USDRUB;60;20181214;190000;66.7410000;66.8077000;66.6510000;66.7052000;41038
USDRUB;60;20181214;200000;66.7052000;66.7680000;66.5887000;66.7458000;29125
USDRUB;60;20181214;210000;66.7458000;66.7613000;66.6775000;66.7515000;10338
USDRUB;60;20181214;220000;66.7515000;66.7657000;66.6710000;66.7255000;6924
USDRUB;60;20181214;230000;66.7277000;66.7779000;66.6750000;66.7660000;10410
USDRUB;60;20181215;000000;66.7660000;66.8500000;66.5328000;66.5355000;8924
USDRUB;60;20181215;010000;66.6706000;66.8630000;66.5226000;66.6442000;578
USDRUB;60;20181215;020000;66.7034000;66.8009000;66.6495000;66.7506000;22
USDRUB;60;20181215;030000;66.7506000;66.7506000;66.7506000;66.7506000;10
USDRUB;60;20181216;210000;66.7800000;66.7800000;66.7800000;66.7800000;12
USDRUB;60;20181216;220000;66.7800000;66.7800000;66.6150000;66.6550000;14
USDRUB;60;20181216;230000;66.6550000;66.7800000;66.6550000;66.7800000;12
USDRUB;60;20181217;000000;66.7800000;66.8452000;66.5916000;66.5977000;24
USDRUB;60;20181217;010000;66.6016000;66.6933000;66.5084000;66.5084000;35
USDRUB;60;20181217;020000;66.5184000;66.8167000;66.5157000;66.7747000;41
USDRUB;60;20181217;030000;66.5815000;67.4235000;66.5658000;66.5658000;300
USDRUB;60;20181217;040000;66.6514000;67.1607000;66.3165000;66.7624000;179
USDRUB;60;20181217;050000;66.7635000;66.8290000;66.5445000;66.7786000;79
USDRUB;60;20181217;060000;66.7933000;66.7939000;66.7152000;66.7475000;1695
USDRUB;60;20181217;070000;66.7680000;66.7886000;66.5247000;66.6381000;356
USDRUB;60;20181217;080000;66.6268000;66.6652000;66.5448000;66.5547000;355
USDRUB;60;20181217;090000;66.6106000;66.6265000;66.5311000;66.6102000;1050
USDRUB;60;20181217;100000;66.6067000;66.6239000;66.5117000;66.5532000;822
USDRUB;60;20181217;110000;66.5431000;66.7117000;66.5431000;66.5466000;34725
USDRUB;60;20181217;120000;66.5466000;66.6105000;66.4145000;66.4865000;40171
USDRUB;60;20181217;130000;66.4837000;66.5186000;66.3894000;66.4240000;44076
USDRUB;60;20181217;140000;66.4713000;66.5675000;66.3831000;66.4933000;36596
USDRUB;60;20181217;150000;66.5412000;66.5980000;66.4640000;66.5245000;32383
USDRUB;60;20181217;160000;66.5245000;66.5630000;66.4423000;66.5018000;39313
USDRUB;60;20181217;170000;66.5468000;66.5952000;66.4619000;66.5168000;48558
USDRUB;60;20181217;180000;66.5110000;66.7619000;66.4679000;66.7236000;52792
USDRUB;60;20181217;190000;66.7282000;66.8030000;66.6405000;66.6980000;47140
USDRUB;60;20181217;200000;66.6980000;66.7055000;66.5019000;66.6555000;32517
